school_id,cn_name,en_name,tags,faculty,school,category,entry_month,duration,tuition,interview,objectives,apply_requirements,language_requirements,analysis,curriculum,url
,金融硕士,MS in Finance,"商科, 金融",,南加州大学,金融,STEM,秋季,16个月，36学分,机面（kira）,无,无,雅思: 100; 托福: 7,南加州大学金融硕士项目隶属于马歇尔商学院（Marshall School of Business)，可以说是美国西海岸最好的商学院之一，相比UCLA Anderson和UC Berkeley Hass，Marshall的Specialized Master项目最为完善。课程设置：20fall项目进行了一定的学制调整，之前是12个月，5月开学，现在是16个月，8月开学，12月毕业，直接带来2大好处，一是有summer可以做实习了，另一个是陆本不用担心国内7月才毕业，从而耽误申请了。核心课程上没有太多变化，3门选修的选择有变多。就业方面：就业率在96%，就业去向也是主流的投行、商业银行、咨询、投资管理公司等，回国的也是去券商银行等金融机构。录取方面：录取的三维标准还是比较稳定（3.5+，700+，320+），从学校最新的录取数据看是有扩招趋势的（20-21-22分别是62-86-99），感觉之后会对国际生/应届生更友好一些。,未找到课程设置,https://www.marshall.usc.edu/programs/specialized-masters-programs/master-science-finance
,生物统计学理学硕士,MS in Biostatistics,"理科, 数学",,明尼苏达大学双城分校,数学,秋季,36学分,13806美元/学期,无,无,"先修课：三个学期的微积分（包括多元微积分）,一学期线性代数。建议学习一年（两个学期）本科水平的概率和数理统计课程。具有编程语言（例如,R、Java、C、Python）和接触应用统计的经验是有帮助的,但不是必需的。GPA不低于3.0",雅思: 100; 托福: 7,"明尼苏达大学双城分校生物统计学系隶属于公共卫生学院，UMN SPH也是USNEWS全美Top10，biostatistics program项目USNEWS排到全美第7. UMN SPH在Ebola, HIV/ADS/到COVID-19 方面都有卓越的贡献，主要提供MS in Biostatistics和MPH in Public Health Data Science 2 种学位。课程设置： MS项目时长2年制项目，侧重于培养researcher, 设计研究和开发统计方法/工具，从复杂的数据中提取insights解决公共健康问题。
MPH 项目侧重于培养data scientists, 适合已经有不错的量化背景基础的学生（computational and statistical methods），提高他们运用先进的数据科学技术来分析和解决大数据时代的公共健康问题。MPH的师生比有1:1（很难得了…）                                                                                                                      录取方面：MS平均录取GPA：3.64+，需要3学期的微积分（包括多元微积分），一学期的线代和2学期的概率论和数理统计；还建议有programming 经历(e.g., R, Java, C, Python)。
MPH推荐（但不强制要求）先修课：Statistics, programming, and calculus/linear algebra。",未找到课程设置,https://www.sph.umn.edu/academics/degrees-programs/ms/biostatistics/
,数学理学硕士,MS in Mathematics,"理科, 数学",,塔夫茨大学,数学,STEM,秋季,30学分,无,无,"申请者需要持有相对应的学士学位,GPA达到3.0及以上",雅思: 90; 托福: 6.5,无,未找到课程设置,https://math.tufts.edu/academics/graduate-programs/ms-mathematics
,环境健康科学硕士,MPH in Environmental Health Sciences,"社科, 公共卫生",,哥伦比亚大学,公共卫生,STEM,秋季,2年,无,无,无,雅思: 100; 托福: 7.5,无,未找到课程设置,https://www.publichealth.columbia.edu/academics/degrees/master-public-health/columbia-mph/environmental-health-sciences
,数据科学理学硕士,MS in Data Science,"理科, 数据科学",,明尼苏达大学双城分校,数据科学,STEM,秋季,31学分,无,无,本科取得计算机、数学、统计学、工程学、自然科学或其他相关领域的四年制学位GPA达到3.5及以上,雅思: 79; 托福: 6.5,无,未找到课程设置,https://cse.umn.edu/datascience/masters
,工商管理硕士,MBA,"商科, 工商管理",,麻省理工学院,工商管理,STEM,秋季,2年,无,无,无,雅思: 90; 托福: 7,无,未找到课程设置,https://mitsloan.mit.edu/mba/introduce-yourself
,计算机科学硕士,M.S. Computer Science (General),"工科, 计算机",,南加州大学,计算机,春季/秋季,28学分,2148美元/学分,无,无,无,雅思: 90; 托福: 6.5,"南加州大学计算机科学项目可以说是CS第一大校了(人数上有700-800人)。

课程设置：除了转专业特供的cs37，还开了cs general（因为修28个学分，俗称cs28）和CS各个细分方向的项目，一共9个specialization（32学分），包括人工智能，数据科学，游戏开发，计算机安全，计算机网络，软件工程，智能机器人，多媒体创意技术，高性能计算和模拟。南加州大学计算机科学硕士USC CS课程提供与计算机的设计、编程和应用相关的基本概念和技术的密集训练。不仅track多，USC CS 的修课模式也提供了thesis track 和non-thesis track。必修课只有1门算法，其他都自选，自由度很大。一般2年毕业，修课多点也可以1.5年毕业。

录取方面：general track和其他track都是for cs科班出身的同学，USC也是个重绩点GPA的学校，3.5+才比较有机会，分很多track（track对录取的影响不大，可以直接申请general来了之后再决定要选择哪个track），录的人很多。人多带来的问题就是方差大，但归根到底学习看自己，刷题找工也靠自己努力。项目优势就是location + 正统的cs项目，最大的劣势就是USC内卷巨大。",未找到课程设置,https://www.cs.usc.edu/academic-programs/masters/computer-science-general/
,计算机科学理学硕士,MS in Computer Science,"工科, 计算机",,威斯康星大学麦迪逊分校,计算机,STEM,秋季,30学分,无,无,鼓励具有计算机科学或相关领域背景的学生申请入学。 至少，申请人应该有一些编程经验，包括数据结构和机器组织课程，并且应该有一年的微积分或以上大学水平的数学。,雅思: 92; 托福: 7,无,未找到课程设置,https://www.cs.wisc.edu/grad/
,数据科学理学硕士 - 化学工程与材料科学,MS in Data Science for Chemical Engineering and Materials Science,"理科, 数据科学",,明尼苏达大学双城分校,数据科学,STEM,秋季,30学分,无,无,具有化学工程、材料科学与工程或是其他相关专业本科学位GPA达到3.5及以上,雅思: 79; 托福: 6.5,无,未找到课程设置,https://cse.umn.edu/cems/ms-data-science
,发展心理学文学硕士,MA in Developmental Psychology,"社科, 心理学",,哥伦比亚大学,心理学,夏季/秋季,一年,"61,216美元",无,无,无,雅思: 100; 托福: 7,哥伦比亚发展心理学有春季、夏季和秋季入学课程设置哥伦比亚大学发展心理学通常需要完成32学分。主要学习基本理论和研究取向，以及认知、语言、个性和社会功能与发展的实质性知识。项目也提供了研究正常和异常心理功能的机会。学生可以注册进行独立研究，包括理论或实证研究项目或实地工作。对于有志于获得临床或咨询心理学专业技能的学生，可以选修入门课程，这些课程可能适用于学生日后进入更高级的硕士或博士项目。该项目课程设计具有高度灵活性，以适应不同学生的目标和兴趣。主要组成部分：研究方法基础课程；认知发展、非典型群体的个性发展以及社会和个性发展必修课程；统计学基础课程；研究实践；发展心理学选修课以及其他由教育学院和哥伦比亚大学研究生院提供的相关专业选修课等。就业方面哥伦比亚大学的发展心理学项目毕业生在就业市场上具有较高的竞争力。完成硕士学位的学生可以在研究实验室、实地环境、生物医学机构、教育和儿童护理机构、基金会、公共政策环境、州和地方政府、社区项目以及社区学院担任讲师，或者继续深造，攻读特定领域的高级学位。毕业生的主要就业去向包括学校心理咨询师、临床心理学家、研究助理、人力资源专家等。此外，许多毕业生也选择继续深造，攻读博士学位，以追求学术或研究职业。录取方面哥伦比亚大学的发展心理学项目录取标准较为严格，重视申请者的学术背景和研究潜力。虽然没有官方的Class Profile，但根据过往数据，录取的学生往往具有较高的GPA（建议3.6以上）、TOEFL成绩（建议105以上），不强制要求GRE。Priority DDL一般1.15截止，最终DDL为4.1。项目特别看重申请者的心理学和相关领域的学术背景，包括心理学基础课程、统计学、研究方法等。此外，有心理学研究经验或相关领域的实习经历将大大增加申请者的竞争力。申请者需要提交个人陈述、推荐信等材料。该项目隶属TC学院，同一学院只允许申请者申请一个项目，因此申请者需要仔细考虑自己的兴趣和职业目标，选择合适的项目进行申请。,未找到课程设置,https://www.tc.columbia.edu/human-development/developmental-psychology/degrees--requirements/developmental-psychology-ma/
,计算机工程理学硕士,MS in Computer Engineering,"工科, 计算机",,南加州大学,计算机,STEM,春季/秋季,28学分,无,无,申请者必须持有地区认可机构的学士学位。申请者需具备计算机相关背景,雅思: 90; 托福: 6.5,无,未找到课程设置,https://viterbigradadmission.usc.edu/programs/masters/msprograms/electrical-computer-engineering/ms-computer-engineering/
,运筹学理学硕士,MS in Operations Research,"理科, 数学",,麻省理工学院,数学,秋季,2年,27755美元/学期,无,无,无,雅思: 100; 托福: 7,"课程方面：隶属于Operations Research Center (ORC)运筹研究中心，其下开了运筹PhD，运筹master’s degree (SM)和MBAn（和Sloan合办的）；2年制，66个学分，研究导向，大多数SM学生有机会做RA。毕业生去向学界（academic 39%和research 14%）和业界（finance 9%+consulting 7%+others 39%）一半一半，不管去学界还是业界，location都绝佳。 
录取来说：size 非常小，SM只收8-12人，PhD收20-25人。看重研究能力。开放晚（early November），截止早（Dec. 15）。",未找到课程设置,https://orc.mit.edu/academics/masters-operations-research/
,商业分析硕士,MS in Business Analytics,"商科, 商业分析",,威斯康星大学麦迪逊分校,商业分析,STEM,秋季,2学期,机面（kira）,无,无,雅思: 100; 托福: 7.5,"威斯康星大学麦迪逊分校商业分析偏冷门。19fall是第一届，再加上Wisconsin商学院本身也不太热门，因为整体偏爱美本，这个项目目前并不算太红。课程设置：课程其实不是特别软，时长1年（可延到1年半），课程设置看起来该有的Data acquisition, analysis, and visualization 和R/Python/SQL/Tableau都有了。有Digital Marketing和Digital Risk & Insurance Technology track录取方面：从申请Prerequisite来看，偏好商科背景，数理背景只要求微积分。就业方面：23年的平均薪酬为83247美元，入职公司包含：Tik Tok、德勤、dell等公司",未找到课程设置,https://wsb.wisc.edu/programs-degrees/masters/business-analytics
,心理学文学硕士,MA in Psychology,"社科, 心理学",,哥伦比亚大学,心理学,秋季,两年,"31,836美元/年",无,无,无,雅思: 100; 托福: 7.5,无,未找到课程设置,https://psychology.columbia.edu/content/graduate-program-0
,统计学理学硕士,MS in Statistics,"理科, 数学",,明尼苏达大学双城分校,数学,秋季,30学分,"2,381.5美元/学分",无,无,建议GPA3.0,雅思: 79; 托福: 6.5,无,未找到课程设置,https://cla.umn.edu/statistics/graduate/degrees/ms-statistics
,计算机科学硕士,MS in Computer Science,"工科, 计算机",,南加州大学,计算机,春季/秋季,32学分,2148美元/学分,无,无,无,雅思: 90; 托福: 6.5,南加州大学可以说是CS第一大校了。整个计算机科学系master学生大约有3000余人。课程设置：除了转专业特供的CS37，还开了CS General（因为修28个学分，俗称CS28）和人工智能、数据科学和游戏开发这三个细分方向的CS项目（带细分方向的项目需修32个学分，俗称CS32）。USC CS项目提供与计算机的设计、编程和应用相关的基本概念和技术的密集训练。不仅细分方向多，修课模式也提供了thesis track 和non-thesis track。必修课只有1门算法，其他都自选，自由度很大。一般2年毕业，修课多点也可以1.5年毕业。录取方面：USC也是个重GPA的学校，3.6+才算比较有机会。选择哪个track对录取的影响不大，申请时可以直接选CS General，来了之后再决定最终去哪个方向。每年招录的人很多。人多带来的问题就是方差大，但归根到底学习看自己，刷题找工也靠自己努力。项目优势就是location+正统CS项目，最大的劣势就是USC内卷巨大。,未找到课程设置,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-computer-science/
,获取失败,获取失败,,,,,,,,,,,,,,无
,科技政策硕士,MS in Technology and Policy,"工科, 其他工科",,麻省理工学院,其他工科,STEM,秋季,2年,无,无,"正式成绩单邮寄至MIT Technology and Policy Program
77 Massachusetts Avenue, E17-373
Cambridge, MA 02139-4307。
一些学校使用 Parchment 或 National Clearinghouse方式，需要将电子成绩单发送至 ebyrne@mit.edu。",雅思: 100; 托福: 7.5,无,未找到课程设置,https://tpp.mit.edu/
,经济学硕士,Master of Science in Economics,"商科, 经济",,威斯康星大学麦迪逊分校,经济,STEM,春季/秋季,3-4学期,无,无,建议先修课程：一个学期的微观经济学导论，一个学期的宏观经济学导论，一个学期的中级微观经济学，三个学期的微积分和线性代数。,雅思: 92; 托福: 7,威斯康辛麦迪逊UWM的综排虽然没有很高，但经济系专排非常好，是一所老牌经济学强校。项目初衷其实就是经济学PhD跳板，理论层面上侧重更深层次地理解宏微观计量，尤其值得一提的是，项目比同类经济学硕士项目更注重计量方法训练和实证研究。因为如今的就业市场和PhD研究都需要强有力的量化能力，以及微观经济和宏观经济理论的基础做支撑，通过经济学项目提供的经济学、分析思维和统计分析方面的强化训练，使学生不论是未来就业还是读博，都能在竞争激烈的环境里有一席之地。课程设置：主要课程教授也都是系里最强的教授，一方面师资力量得到保证，另一方面在后续博士申请过程中推荐信也有很大优势。课程优势是可以选PhD的课程，再加上威斯康辛经济系是优势学科，无论申本校经济系PhD，还是往外申，课程方面也有很大帮助。但不足在于课程比较固定，自由度小。3学期毕业的话，10门课7门必修，必修课都很硬核，没什么应用领域导向，选修课的选择也不算非常多。作为一个designed for PhD的项目，每年的Ph.D. Placements官网也比较清楚，不像很多项目是几年的placements在一起，侧面说明每届的申博比例和placements还是很拿得出手的。就业方面：就业去向包括金融机构（投行或商业银行或国内券商研究所）、经济咨询等。但UWM回国的话，reputation其实不太够；留美的话，location又不太好。因此，如果是就业导向的学生，其实不太建议选UWM。录取方面：很注重量化背景，申请过程中需要填一个Math preparation form，对中国学生比较友好。,未找到课程设置,https://econ.wisc.edu/masters/
,获取失败,获取失败,,,,,,,,,,,,,,无
,计算机科学硕士,MS in Computer Science-Scientists and Engineers,"工科, 计算机",,南加州大学,计算机,春季/秋季,37学分,2148美元/学分,无,无,无,雅思: 90; 托福: 6.5,课程设置：南加州大学也专门针对理工背景想要转码的学生开设了一个硕士项目，全称是Master of Science in Computer Science for Scientists and Engineers。因为要修37个学分，故称USC CS37，但除了“修的学分多于其他track”，“不能自由转其他track”，这个项目和CS下其他track的项目是一样的，很多课程都是和CS下其他track的同学一起上课的。项目时长2年，也有很多同学选择延长到2年半，因为USC的学费是根据学分算的，延长项目时长在学费成本上不高，整体性价比还是很高的。就业方面：2年半的项目时长对于留美找工是个优势。零基础的学生可以利用第一年的暑假去提升背景、丰富简历，到第二年的暑假再认真找实习。如果已经有一定基础，则可以有拥有两段硬核的暑假实习，也能更好地弥补非CS本科/转专业的劣势。与此同时，USC计算机系有很多实验室和研究所，涵盖了CS的各个前沿领域，对research 感兴趣的同学，在lab多参加一些项目，也会对找工作有帮助。除了地处加州的地理位置优势，南加州大学计算机科学系就业氛围浓厚，同学之间会一起组团刷题，互相分享经验，也有学长学姐会提供内推机会，甚至抽时间给同学做mock面试。除了CS四大名校（CMU/ UC Berkeley/ MIT/ Stanford）以外，USC的毕业生在就业市场上认可度还是很高的。只要同学们在就读期间充分利用时间去多积累project经历，多刷一些题，在就业时竞争力还是很强的。录取方面：坦白来说，USC的确是CS项目录取大户，Class Size很大，中国学生多。但“招中国人多”绝不等于“水”。USC是高GPA控，比较有竞争力的GPA在3.6+；结合往年拒录案例分析，项目录取的中国同学大多来自985/211高校。和UPenn MCIT一样，CS37录取同学的背景非常多元，化学、建筑、土木等都有。,未找到课程设置,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-cs-scientists-engineers/
,生统之药物统计理学硕士,MS in biostatiscs-Pharmaceutical Statistics,"社科, 数学",,哥伦比亚大学,数学,STEM,秋季,两年,无,无,申请药物统计学硕士学位的人应具有很强的数学背景（至少两个学期的微积分）和在制药行业工作的经验或兴趣。,雅思: 100; 托福: 7.5,无,未找到课程设置,https://www.publichealth.columbia.edu/academics/degrees/master-science/pharmaceutical-statistics
,农业应用经济学理学硕士,MS in Agricultural and Applied Economics,"商科, 经济",,威斯康星大学麦迪逊分校,经济,STEM,秋季,30学分,无,无,申请者应修过中级微观经济理论、中级宏观经济理论、两个学期的微积分和入门统计课程。,雅思: 92; 托福: 7,"课程设置：项目是STEM, 包括 30 个学分的课程，论文optional。该课程通常需要3-4个学期才能完成。课程要求包括： 微观经济理论（3 个学分） 统计学和计量经济学（6 个学分） 经济分析（9 个学分） 选修课程（12 个学分） 。先修课要求：中级微观经济理论、中级宏观经济理论、两个学期的微积分和入门统计学。就业方面：项目非常适合对数据分析、政府机构、非营利组织、咨询等职业感兴趣的学生，也适合作为PhD的跳板。录取方面：如果申请econ没有录取的话，学校可能会调剂到农经专业，农经也是威斯康星比较好的专业，是stem而且和计量方面沾边。",未找到课程设置,https://aae.wisc.edu/grad/masters/
,计算科学与工程硕士,MEng in Computational Science and Engineering,"工科, 计算机",,哈佛大学,计算机,STEM,秋季,两年,无,无,"申请人通常拥有自然科学、数学、计算机科学或工程学学士学位。

我们期望申请人具备的先决条件包括微积分、线性代数和微分方程的知识； 熟悉概率和统计推断； 至少熟练掌握一种编程语言，例如 Python 或 R，并了解基本的计算机科学概念。",雅思: 无要求; 托福: 无要求,无,未找到课程设置,https://seas.harvard.edu/masters-computational-science-and-engineering
,网络安全工程理学硕士,MS in Cyber Security Engineering,"工科, 计算机",,南加州大学,计算机,STEM,春季/秋季,32学分,无,无,"申请者必须持有地区认可机构的工程相关学士学位且GPA达到3.0及以上。申请者最好具备计算机科学,信息安全,电气工程等相关专业背景",雅思: 90; 托福: 6.5,无,未找到课程设置,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-cyber-security-engineering/
,国际经济与金融硕士,MA in International Economics and Finance,"商科, 金融",,布兰迪斯大学,金融,STEM,秋季,2年,机面（kira）,无,"在以下的课程需要至少修3个学分或修读完整一个学期 并且成绩至少达到B：统计学入门课程（如统计学或定量方法）,一门经济学课程（经济学原理/宏观经济学/微观经济）",雅思: 100; 托福: 7,"布兰迪斯大学商学院的MAIEF（国际经济与金融）项目在2017年英国《金融时报》应届金融硕士排名中，位列全美第2。课程设置：Brandeis MAIEF是极其少见的2年制项目(4个学期)，有1学期可以交换，交换学校包括Bocconi, ESSEC, UIBE等，适合计划从事金融、商业或经济政策分析工作的学生。课程广度大，有经济分析与咨询、数据分析、金融经济学、市场营销、房地产金融5个方向，会有MBA level的课，同时也注重培养学生使用相关软件的能力（R），因此不要因为MA就觉得偏文。就业方面：76%留美率，比MSF还要高一些。",未找到课程设置,https://www.brandeis.edu/global/academics/ma/index.html
,新闻学文学硕士,MA in Jouranlism,"社科, 新闻",,哥伦比亚大学,新闻,秋季,1年,"68,586美元",无,无,"文学硕士课程专为拥有 3 至 15 年专业新闻经验的记者而设计。 我们正在寻找具有可证明的报告经验和强大写作能力的求知欲强的学生。

申请人应具备基本的新闻技能：研究、采访和讲故事。 申请人无需具备申请专业的背景。 我们接受想要深入了解他们已经报道过的主题的记者，以及那些想要将注意力转移到新领域的记者。 在极少数情况下，我们会录取经验不足三年的学生，但前提是他们有出色的工作记录。",雅思: 114; 托福: 8,无,未找到课程设置,https://journalism.columbia.edu/ma-degree
,金融经济理学硕士,MS in Financial Economics,"商科, 经济",,威斯康星大学麦迪逊分校,经济,STEM,秋季,1年,无,无,无具体要求。,雅思: 92; 托福: 7,无,未找到课程设置,https://msfe.wisc.edu/
,计算科学与工程硕士,MS in Computational Science and Engineering,"工科, 计算机",,哈佛大学,计算机,STEM,秋季,一年,无,无,"申请人通常拥有自然科学、数学、计算机科学或工程学学士学位。

我们期望申请人具备的先决条件包括微积分、线性代数和微分方程的知识； 熟悉概率和统计推断； 至少熟练掌握一种编程语言，例如 Python 或 R，并了解基本的计算机科学概念。",雅思: 无要求; 托福: 无要求,无,未找到课程设置,https://seas.harvard.edu/masters-computational-science-and-engineering
,计算机科学硕士,MS in Computer Science,"工科, 计算机",,北卡罗来纳大学教堂山分校,计算机,STEM,秋季,1年,无,无,需掌握官网列出的计算机及数学、统计学、物理学相关课程，GPA3.0及以上。,雅思: 90; 托福: 7,无,未找到课程设置,https://cs.unc.edu/graduate/ms/
,金融硕士,MS in Finance,"商科, 金融",,布兰迪斯大学,金融,STEM,秋季,16个月,无,无,"财务管理(或通过CFA 1级也可)、定量方法（例如统计,微积分,计量经济学、数据分析、数学分析、实分析、线性代数、高级数学或数学建模）,成绩至少达到B等级",雅思: 100; 托福: 7,"布兰迪斯大学金融硕士项目MSF为期16个月课程设置：除了核心课程以外，MSF提供了资产管理、企业金融与估值、金融科技、风险管理等细分方向的选择，课程也是for CFA的。summer 有个practicum（100%），学生可以通过实习（或者field trip/directed research）等获得行业体验，运用所学知识更好地解决商业环境下的实际问题；此外，项目也协助学生准备专业资格认证考试，包括CFA和FRM。就业方面：项目的career services为学生提供高度个性化的个人职业咨询和指导服务，组织开展活动包括研讨会、行业小组讨论、校园招聘、公司参观和年度招聘会等等。学生在美实习率有72%，工作留美率52%，就业去向也主要是金融服务业的金融岗位。录取方面：建议GMAT 680+, GPA 3.3+, 托福 100+（雅思7+）, 有video essay，收到录取的几乎都有奖学金。",未找到课程设置,https://www.brandeis.edu/global/academics/msf/
,教育政策与分析 教育硕士，语言和读写方向,Ed.M. Education Policy and AnalysisConcentration: Literacy and Language,"社科, 教育",,哈佛大学,教育,秋季,1年,54768美元/年,无,无,需要有相关实习/工作经验,雅思: 104; 托福: 7.5,"哈佛大学教育学院HGSE 教育政策与分析 EPA 项目将培养学生领导和参与美国和世界各地的组织和环境中的教育政策制定、分析和变革。学生还将学习如何推广有效的教育实践，以及如何利用政策来扩大其影响。EPA 项目的毕业职业发展途径是教育政策分析员，教育政策顾问等等。  
录取方面：建议选literacy and language concentration。名校里「申请难度不高」的定义不是「谁申都能上」，只是相对于「该校牛逼的综合排名」或者「差不多档次学校的同类项目」比较低。",未找到课程设置,https://www.harvard.edu
,电影与媒体研究硕士,MA in Film and Media Studies,"社科, 影视",,哥伦比亚大学,影视,秋季,2年,68246美元,无,无,无,雅思: 100; 托福: 7.5,无,未找到课程设置,https://arts.columbia.edu/film-and-media-studies/degree-concentrations
,电子及计算机工程理学硕士,MS in Electrical and Computer Engineering,"工科, 电气电子",,加州大学圣塔芭芭拉分校,电气电子,STEM,秋季,1年,无,无,GPA3.0及以上。,雅思: 80; 托福: 7,无,未找到课程设置,https://www.ece.ucsb.edu/grad
,商业分析硕士,Master of Science in Business Analytics,"商科, 商业分析",,南加州大学,商业分析,STEM,秋季,3个学期，33学分,无,无,"至少完成1门以上统计课程,并达到B+,需要学过Basic probability,Probability distributions (normal, exponential, etc.),Inferential statistics such t-tests, and Chi-square test, confidence intervals, and sampling,Intro to linear regression方面的知识",雅思: 100; 托福: 7,"南加州大学商业分析项目隶属于 Marshall商学院。课程设置：16个月，课程既包括了以Python为主硬核的数据分析方法，也涉及了R/SQL/NoSQL，建模/优化方法，深度学习，监督与非监督学习等机器学习算法，还注重在广泛商业领域的应用，遍布金融、市场营销、企业运营管理、供应链运筹/优化等方面，同时也强调商科学生的软技能，尤其是沟通能力。录取方面：通常10.1开放，国际生4.15截止。本科阶段完成至少一门统计学课程，没有例外。先修课程要求概率论、概率分布(正态分布、指数分布等)、 推理统计，如t检验、卡方检验、置信区间和抽样、线性回归。南加州大学商业分析项目绝对是最最最热门的项目之一，尽管项目一直在扩招，但申请者的人数也同样在增加。根据官方inform session，20fall的招生规模是135，申请人数高达6000多人。而高三维（无论美本/陆本）被拒的案例屡见不鲜，申请难度依旧逐年攀升。除了保证有竞争力的三维成绩，对口的商业分析实践项目或名企实习之外，建议申请者把精力放在文书上，体现自身与项目的匹配度。“最好的,不一定是最合适的；最合适的,才是真正最好的”。项目分轮次，建议早交申请，一轮出结果的很少，大多数申请者会被defer到下一轮再被review，有从第一轮defer到第五轮才录取的案例，因此早交申请可以多一点机会。录取学生平均有一年的工作经验，平均年龄为26岁。偏好高三维，平均录取GMAT为730，GRE330。就业方面：毕业生的平均起薪为10万美元，毕业后三个月内的就业率高达90%，工作城市分布在LA、san jose、北京等城市，80%学生在北美就业。",未找到课程设置,https://www.marshall.usc.edu/programs/specialized-masters-programs/master-science-business-analytics
,教育领导力，组织和创业硕士,"Master's in Education Leadership, Organizations and Entrepreneurship","社科, 教育",,哈佛大学,教育,秋季,一年,"57,246美元/年",无,无,虽然不需要学士学位，但持有文学学士、学士学位或同等学位的人最有竞争力。 只有在极少数情况下，学校才会考虑特殊和广泛的专业成就，以及证明的非学位学术成就，以代替学位。,雅思: 104; 托福: 7.5,无,未找到课程设置,https://www.gse.harvard.edu/masters/programs/eloe
,金融硕士,Master of Science in Finance,"商科, 金融",,迈阿密大学,金融,STEM,春季/夏季/秋季,10个月,无,无,无,雅思: 94; 托福: 7,"迈阿密大学赫伯特商学院Miami Herbert Business School的金融硕士 Master of Science in Finance为期10个月

课程设置：课程让学生可以根据自身兴趣和未来就业意向灵活地选择课程，使学生能够成为拥有创新思维的国际化金融领袖；包含可以在商学院的合作伙伴企业中进行实战的Capstone project或者internship。

就业方面：迈阿密作为美国的第二大金融中心，拥有60多家国际银行和100多家另类投资公司，是吸引创业、初创企业、金融科技、对冲基金和私人股本的新兴磁石。城市的氛围和金融基础给学生提供了良好的实习和就业机会。赫伯特商学院也是CFA合作院校，课程中包含了75%的CFA Level 1考试知识点，院校也为学生提供CFA备考课程。

录取方面：录取上对国际生非常友好（占60%），建议有GPA 3.0+，对GMAT没有很高的要求。",未找到课程设置,https://herbert.miami.edu/graduate/find-and-compare-programs/finance/index.html
,会计硕士,Master of Accountancy,"商科, 会计",,威斯康星大学麦迪逊分校,会计,STEM,秋季/春季,1-2年,机面（kira）/真人单面,无,适合非会计专业，想考CPA学生申请,雅思: 104; 托福: 无要求,无,未找到课程设置,https://wsb.wisc.edu/programs-degrees/masters/macc
,空间经济学与数据分析硕士,Master of Science in Spatial Economics and Data Analysis,"商科, 经济",,南加州大学,经济,STEM,春季/秋季,32学分,无,无,"GPA 至少达到 3.0 
建议修过地理信息系统和/或遥感的入门课程(或实践/现场经验证明)和经济学原理、宏观经济学和微观经济学课程",雅思: 90; 托福: 6.5,南加州大学空间经济学和数据分析（Master of Science in Spatial Economics and Data Analysis）是一个整合了空间经济学、数据分析和空间科学的创新型的跨学科项目，由Dornsife文理学院经济学系和空间科学研究所合办。课程设置：利用从地理信息科学（GIS）、城市经济学、空间计量经济学等方面获取到基于位置的大数据来识别商业机会和应对公共政策挑战。通过该项目的学习，学生会深入了解空间经济学的基本原理；学习并应用空间分析和空间建模方法，来确定城市问题新商机和新政策的解决方案，从而在新兴的空间分析领域中获得竞争优势。就业方面：随着空间大数据的可用性和重要性不断增长，对于这种具备实时空间数据和经济分析能力的专业人员而言，就业机会也在增长。毕业生可以对交通拥堵变化趋势、房地产估值、以及世界各地无数其他商业和社会应用带来新的见解。录取方面：项目有pre-master，录取要求不算太高，比较看重学生在空间数据分析方面的见解。录取bar不是太高，看重对口的空间经济学科研经历和solid数据分析能力。,未找到课程设置,https://spatial.usc.edu/m-s-in-spatial-economics-and-data-analysis/
,东亚语言与文化硕士,MA in East Asian Languages and Cultures,"社科, 文化",,哥伦比亚大学,文化,秋季,2年,32490美元/学期,无,无,入学学生必须在进入课程的学期开始时参加东亚专业语言的语言分级考试，除非该语言是他们获得学士学位的机构的主要教学语言。,雅思: 100; 托福: 7.5,无,未找到课程设置,http://ealac.columbia.edu/program/graduate/
,学习设计、创新和技术硕士,"Master's in Learning Design, Innovation, and Technology","社科, 教育",,哈佛大学,教育,秋季,1年,"57,246美元",无,无,不能同一年申请多个教育学院项目,雅思: 104; 托福: 7.5,无,未找到课程设置,https://www.gse.harvard.edu/masters/programs/ldit
,会计与商业分析硕士,MS in Accounting and Business Analysis,"商科, 会计",,威斯康星大学麦迪逊分校,会计,无,无,无,无,无,无,无,无,未找到课程设置,https://business.wisc.edu/graduate/masters/accounting-business-analysis/
