ID,中文名称,英文名称,标签,所属院校,专业方向,入学时间,项目时长,项目学费,项目规模,就业比例,面试形式,培养目标,申请要求,语言要求,顾问解析,课程设置,申请时间,项目链接,项目官网,排名,学校类型,是否STEM
75180,健康数据科学,Master of Data Science in Health,"理科, 数据科学",加州大学洛杉矶分校,数据科学,STEM,秋季,20个月,无,无,无,无,GPA要至少3.0,无,无,无,无,https://www.compassedu.hk/majr_75180,无,,"理科, 数据科学, 公立常春藤, 帕克十二联盟, 美国大学协会, 环太平洋大学联盟",是
73524,高阶管理学硕士,Master of Advanced Management,"商科, 管理",耶鲁大学,管理,STEM,春季/秋季,1年,无,无,无,无,"该项目招收顶级商学院MBA，商学院列表参考网站https://globalnetwork.io/members
需要提供MBA成绩单",无,无,无,无,https://www.compassedu.hk/majr_73524,无,,"商科, 管理, 常春藤联盟, 美国大学协会, 全球大学校长论坛",是
72040,生物医学工程工学硕士,MEng in Biomedical Engineering,"工科, 生物工程",波士顿大学,生物工程,秋季,1年,79978美元/年,无,无,无,无,无,无,"<p>波士顿大学生物医学工程系研究生阶段开设有以下学位项目，分别是：生物医学工程硕士（M.Eng in Biomedical Engineering）：共计32个学分，为期1年，属专业学位项目，为打算从事医疗、医学设备、生物技术或生物制药领域工作的申请者开设。</p><p> 
生物医学工程理学硕士（MS in Biomedical Engineering）为学生提供进行生物医学工程研究所需的知识和研究技能，主要的研究领域包括但不限于：:生物力学与力学生物学、分子、细胞与组织工程、神经工程、合成与系统生物工程、生物材料、生物医学成像、计算建模与数据科学、纳米技术与传感。</p>",无,无,https://www.compassedu.hk/majr_72040,无,,"工科, 生物工程, 美国大学协会",是
73838,应用数学理学硕士,MS in Applied Mathematics,"理科, 数学",杜兰大学,数学,STEM,秋季/春季,24-30学分,无,无,无,无,GPA3.0以上,无,无,无,无,https://www.compassedu.hk/majr_73838,无,,"理科, 数学, 美国大学协会, AACSB认证商学院",是
65760,计算机科学与工程硕士,Master of Science in Computer Science and Engineering,"工科, 计算机",加州大学圣地亚哥分校,计算机,秋季,无,无,无,无,无,无,无,无,无,无,无,https://www.compassedu.hk/majr_65760,无,,"工科, 计算机, 环太平洋大学联盟, 国际公立大学论坛, 美国大学协会, 高潜力人才签证计划",是
72100,工学硕士,Master of Engineering Track: Data Science,"理科, 数据科学",加州大学洛杉矶分校,数据科学,秋季,1年,50400美元/年,无,无,无,无,"1. 学士学位：工程学科, 计算机科学,数学,物理,化学专业
2. GPA至少3.0/4.0",无,"<p>加州大学洛杉矶分校（University of California, Los Angeles, UCLA）的工程硕士（Master of Engineering, MEng）项目是一个以就业为导向的一年制课程，MEng项目涵盖了多个前沿技术领域，包括人工智能、自动化系统、数据科学、数字医疗技术、绿色能源系统和转化医学等六个方向。其中，数据科学（Data Science）作为分支方向之一，旨在培养学生掌握大数据所需的实用工具和理论知识，如Python编程、深度学习、高级概率推理以及分布式计算系统（例如Spark）。</p><p>数据科学领域的课程将重点关注统计学、数据挖掘与分析、机器学习、分布式和并行系统，以帮助学生深入理解和分析大规模数据集。尽管项目周期仅为一年，但学生将有机会参与Capstone Project，通过实践项目深化学习并展示其技术能力。</p><p>MEng项目不仅注重技术能力的培养，也致力于培养学生的工程管理能力。课程中将包含工程项目管理、领导力和沟通技巧等“软技能”课程，旨在为学生塑造成为工程技术领导者的全面素质。</p><p>在录取标准方面，UCLA MEng-DS项目对计算机科学CS和数据科学DS背景的学生表现出较强的偏好，其中90%的学生来自这些领域，其余10%来自统计学和数学背景。数学和统计学背景的学生通常具有3.9左右的高GPA，而计算机科学背景的学生则在3.6到3.7之间。</p>",无,无,https://www.compassedu.hk/majr_72100,无,,"理科, 数据科学, 公立常春藤, 帕克十二联盟, 美国大学协会, 环太平洋大学联盟",是
71928,环境工程理学硕士,M.S. in Environmental Engineering,"工科, 环境工程",耶鲁大学,环境工程,秋季,3年,47600美元/年,无,无,无,无,与清华大学联合学位项目,无,无,无,无,https://www.compassedu.hk/majr_71928,无,,"工科, 环境工程, 常春藤联盟, 美国大学协会, 全球大学校长论坛",是
72039,获取失败,获取失败,,,,,,,,,,,,,,,,https://www.compassedu.hk/majr_72039,无,,,否
73823,生物医学工程理学硕士,MS in Biomedical Engineering,"理科, 生物",杜兰大学,生物,STEM,秋季/春季,30学分,无,无,无,无,申请者应具有科学相关学士学位，GPA3.0以上,无,无,无,无,https://www.compassedu.hk/majr_73823,无,,"理科, 生物, 美国大学协会, AACSB认证商学院",是
65519,商业分析硕士,Master of Science in Business Analytics,"商科, 商业分析",加州大学圣地亚哥分校,商业分析,STEM,夏季/秋季,12个月，50学分,无,无,机面（kira）,无,"优先考虑在定量方法方面有坚实基础的学生。成功的申请者将完成大学微积分、概率或统计学课程。需提供在计算编程（例如,C++）以及统计、计量经济学和数学应用程序和工具（例如,SAS、Stata、MatLab、R、S-Plus、Mathematica）方面的经验的详细信息。",无,<p>课程设置：</p><p>加州大学圣地亚哥分校商业分析可以选11个月or17个月完成，课程也是完善的BA的课，挺硬核挺intensive的，有诺奖大牛的任教，也有capstone project。同时UCSD强势的CS背景对于BA项目也有加分。课程始终以真实的商业环境为基础，并侧重于三个领域：收集、清理、可视化和分析数据；使用统计、机器学习和优化工具；利用数据和分析来推动业务决策和价值</p><p>录取方面：</p><p>申请来说，bar每年在涨高，Rady（包括msf）的申请条件都写的比较看重量化背景（网申里也要填上过的课），但其实录取来看，也就“还好”，不算很硬卡。三维就是3.5/106/701(普通71党可，也不卡学校) ，历年经验来看，能拿到Kira面试就录（不排除幸存者偏差）。陆本/双非都非常友好，国际生比例高。</p><p>就业方面：</p><p>加州科技产业发达，机会多。虽然rady很新，但也在各种大厂有了初步的分布。23年6个月内就业率为92.6%，平均薪酬104920美元。</p>,无,无,https://www.compassedu.hk/majr_65519,无,,"商科, 商业分析, 环太平洋大学联盟, 国际公立大学论坛, 美国大学协会, 高潜力人才签证计划",是
71720,生物统计学公共卫生硕士,MPH in Biostatistics,"理科, 数学",加州大学洛杉矶分校,数学,秋季,2年,37737美元/年,无,无,无,无,"微积分与解析几何,多元微积分",无,"<p>加州大学洛杉矶分校生物统计学专业研究生阶段开设有以下学位项目，分别是：生物统计学硕士Master of Science in Biostatistics，学术和研究导向型的项目，为期2年，6个quarters，为学生夯实数理基础，掌握前沿的统计方法，读博友好，也可以从事research position的工作，MS只有一点点Public health 知识。利用数理统计方法解决疾病爆发、环境和工业危害等现实世界问题，为公共卫生事业做出贡献。</p><p>

生物统计学MPH硕士：为期2年，属专业学位项目professional，课程是在公共卫生的背景下,专注于生物统计方法、编程和数据管理。</p><p>

录取来说：对数学先修课要求很高，MS的先修课要求：线代，微积分与解析几何，多元微积分，矩阵，微分方程，Infinite Series。MPH的先修课要求：微积分与解析几何，多元微积分。</p>",无,无,https://www.compassedu.hk/majr_71720,无,,"理科, 数学, 公立常春藤, 帕克十二联盟, 美国大学协会, 环太平洋大学联盟",否
74880,细胞与分子生物学硕士,MS in Cell & Molecular Biology,"理科, 生物",杜兰大学,生物,STEM,秋季,1年,无,无,无,无,GPA至少3.0，先修课要求化学，生物学或细胞生物学,无,无,无,无,https://www.compassedu.hk/majr_74880,无,,"理科, 生物, 美国大学协会, AACSB认证商学院",是
73532,环境管理硕士,Master of Environmental Management,"工科, 环境工程",耶鲁大学,环境工程,秋季,2年,"49,500美元",无,无,无,无,强烈建议申请人学习过至少下面两门相关课程:生态模式和过程(如普通生态学、生物多样性科学、人口或社区生态学、生态系统科学或生态系统生态学)、物理科学(如地球科学，包括地圈、大气和水圈、环境化学、气候科学)、社会科学(如环境治理、环境人类学、环境史、环境正义、环境社会学)、人文地理学、政治生态学、宗教与生态学)和微观经济学。,无,无,无,无,https://www.compassedu.hk/majr_73532,无,,"工科, 环境工程, 常春藤联盟, 美国大学协会, 全球大学校长论坛",是
73849,社会工作硕士,Master of Social Work,"社科, 社会学与社工",俄亥俄州立大学,社会学与社工,夏季/秋季,1-2年,"59,308美元/年",无,无,无,无,Traditional MSW院系需要有10-15学分的社会科学课程（心理学、政治科学、经济学等）；ASAP MSW院系需要有社会工作本科学位,无,无,无,无,https://www.compassedu.hk/majr_73849,无,,"社科, 社会学与社工, 美国大学协会, 大十联盟",否
65800,电气与计算机工程硕士,Master of Electrical and Computer Engineering,"工科, 电气电子",加州大学圣地亚哥分校,电气电子,秋季,6 quarters,32685美元/年,无,无,无,无,GPA 至少达到 3.0,无,<p>加州大学圣地亚哥分校ECE学院下开设了MS ECE项目，根据不同的research areas，细分了十余个不同的项目供学生选择。比较热门的是EC78 Electronic Circuits & Systems (Impacted)、EC79 Computer Engineering (Impacted)、EC80 Intelligent Systems、Robotics & Control (Impacted)、EC82 Signal & Image Processing、EC93 Machine Learning & Data Science (Impacted)，此外还有涉及医疗、光学、电磁与材料等领域的项目。括号内标注“Impacted”的项目表示入学后不允许转专业方向。</p><p>EC 79是整个ECE系的王牌项目，非常适合转码，选CS的课非常友好，录取的bar最高，基本要 GPA90+比较有机会。EC 80适合本科专业是控制和自动化方向的，也是非常转码友好的项目，bar每年水涨船高，越来越接近EC 79了。这两个项目基本算是ECE系列中难度最高的。EC 78适合想走硬件电路方向的同学，bar不算太高。EC 82适合对信号处理感兴趣，但又不想转码的同学。EC 93相对比较新，作为研究前沿的ML，也非常火爆，bar也在涨。</p><p>UCSD地理位置优越，位于加州，邻近众多科技创新企业，加上公立大学学费相对低廉，性价比高，使得UCSD ECE各个项目申请非常热门、竞争非常激烈，基本也是申请EE和CS方向学生人手一申的项目。建议申请者GPA 3.6+，有对口科研经历。</p>,无,无,https://www.compassedu.hk/majr_65800,无,,"工科, 电气电子, 环太平洋大学联盟, 国际公立大学论坛, 美国大学协会, 高潜力人才签证计划",是
71719,生物统计学硕士,MS in Biostatistics,"理科, 数学",加州大学洛杉矶分校,数学,秋季,2年,32938美元/年,无,无,无,无,"2 年的微积分,1学期的线性代数。 建议有一些编程、统计或生物统计学以及使用统计计算机包的经验。",无,"<p>UCLA生物统计学硕士课程为攻读生物统计学博士学位提供了全面的准备，并为学生在公共卫生领域的职业生涯做好了准备。学生将能够将他们的统计和计算技能应用于现实世界的健康问题，从疾病爆发，环境和工业危害，到公共卫生，制药和医疗干预的发展等等。该硕士课程是为寻求应用统计方法，统计推断和统计计算的广泛基础的学生设计的。它为学生在学术界、商界、医疗机构和政府从事研究工作做好准备。</p><p> </p><p>课程设置：</p><p>该项目以学术和研究导向的，为期2年，6个quarters，课程是在公共卫生的背景下,专注于生物统计方法、编程和数据管理。课程内容包括但不限于抽样原理，药物统计学导论，相关数据分析，临床试验中的统计方法，多元生物统计学应用，健康数据的计算机管理和分析，生物统计学咨询，临床试验的方法学，因果推断，贝叶斯推断，统计图形，数据科学和统计计算等</p><p> </p><p>就业方面：</p><p>该项目的毕业生可以在政府部门、工业界、教育界等领域担任各种具有挑战的职位。毕业生有潜力在医学、公共卫生、生命科学、调查研究和计算机科学方面产生巨大的科学影响。可能的应用领域包括艾滋病、癌症、遗传学、成像、生物信息学、免疫学和公共政策等。毕业生可能的职位包括生物统计学家、统计学家、数据科学家、数据分析师、统计程序员以及大学、行业或政府的研究员</p><p> </p><p>录取方面：</p><p>大部分申请者都具备数学或物理、生物或社会科学背景；此外该项目对数学先修课要求很高，MS的先修课要求：线代，微积分与解析几何，多元微积分，矩阵，微分方程，Infinite Series。需要具备一定微积分和线性代数的知识，且建议有一些编程经验、一些统计学或生物统计学方面的经验，以及一些使用统计学计算机工具包的经验。</p>",无,无,https://www.compassedu.hk/majr_71719,无,,"理科, 数学, 公立常春藤, 帕克十二联盟, 美国大学协会, 环太平洋大学联盟",否
73822,生态学与进化生物学理学硕士,MS in Ecology and Evolutionary Biology,"理科, 生物",杜兰大学,生物,STEM,秋季/春季,1-2年,无,无,无,无,申请者应具有科学相关学士学位，GPA3.0以上,无,无,无,无,https://www.compassedu.hk/majr_73822,无,,"理科, 生物, 美国大学协会, AACSB认证商学院",是
73534,获取失败,获取失败,,,,,,,,,,,,,,,,https://www.compassedu.hk/majr_73534,无,,,否
73844,生物医学工程理学硕士,MS in Biomedical Engineering,"工科, 生物工程",俄亥俄州立大学,生物工程,STEM,秋季/春季,31学分,无,无,无,无,具备工科工程背景，且有一定的数学、生物学、生理学课程基础,无,无,无,无,https://www.compassedu.hk/majr_73844,无,,"工科, 生物工程, 美国大学协会, 大十联盟",是
65619,专业会计硕士,Master of Professional Accountacy,"商科, 会计",加州大学圣地亚哥分校,会计,STEM,秋季,9个月,无,无,机面（kira）,无,"申请者需要有扎实的会计基础,学习过管理会计、财务会计、中级会计、审计、联邦税的先修课程。",无,<p>课程设置：加州大学圣地亚哥分校专业会计项目是19fall新开的，是STEM项目，课程是CPA导向的；项目时长9个月，分3个学期，其中第3个学期是Capstone Project。</p><p> </p><p>录取方面：项目size很小，只招了33个人，国际生比例占到58%，其中入学的中国学生本科来自中南财经政法大学、厦门大学、陕西科技大学、上海对外经贸等高校。虽然官网上说不强制要求本科是会计专业，但对会计相关背景还是比较看重的，也比较在意CPA通过率。录取学生的平均标化是GPA3.38、托福101，同时有面试。</p>,无,无,https://www.compassedu.hk/majr_65619,无,,"商科, 会计, 环太平洋大学联盟, 国际公立大学论坛, 美国大学协会, 高潜力人才签证计划",是
73821,细胞和分子生物学理学硕士,MS in in Cell and Molecular Biology,"理科, 生物",杜兰大学,生物,STEM,秋季,1年,无,无,无,无,申请者应学习过化学和生物学或细胞生物学,无,无,无,无,https://www.compassedu.hk/majr_73821,无,,"理科, 生物, 美国大学协会, AACSB认证商学院",是
73535,森林科学硕士,Master of Forest Science,"工科, 环境工程",耶鲁大学,环境工程,STEM,秋季,2年,无,无,无,无,强烈建议申请人学习过至少下面两门相关课程:生态模式和过程(如普通生态学、生物多样性科学、人口或社区生态学、生态系统科学或生态系统生态学)、物理科学(如地球科学，包括地圈、大气和水圈、环境化学、气候科学)、社会科学(如环境治理、环境人类学、环境史、环境正义、环境社会学)、人文地理学、政治生态学、宗教与生态学)和微观经济学。,无,无,无,无,https://www.compassedu.hk/majr_73535,无,,"工科, 环境工程, 常春藤联盟, 美国大学协会, 全球大学校长论坛",是
65680,金融工程硕士,Master of Financial Engineering,"商科, 金工金数",加州大学伯克利分校,金工金数,STEM,春季,1年,无,无,机面（kira）,无,微积分(建议2门课程)线性代数(建议1门课程)偏微分方程(建议1门课程)统计学(建议2门课程- 2门高级统计学或计量经济学)数值分析(建议1门课程)金融（2门课程或同等的工作经验）,无,"<p>课程设置：加州伯克利大学金融工程硕士隶属于Hass商学院，1年制，30个学分，只有春季3月入学。招生节奏其实跟秋季时间差不大，一般会一起申。同时满足买方/卖方的skill set，项目亮点在于有一个Applied Finance Project（优秀的project能拿Morgan Stanley $5,000 award），还有一个12-week的Internship Period。</p><p> </p><p>就业方面：实习上岸率92%，去向包括了sell side (Morgan Stanley, Goldman Sachs, BNP Paribas), buy side (BlackRock, PIMCO), hedge funds (AQR, WorldQuant) as well as Tech/FinTech (Uber, Affirm)。Class of 2023 的就业率是96%，还有不少relocate到HK或者London的，同时Hass 商学院的全球校友网也提供了很好的业界资源。</p><p> </p><p>录取方面：录取率在13%，也会主动让你defer到后面一届。值得注意的是，有43%的已经是硕博背景了。申请的话，编程需要掌握C++，Python，R。数理背景需要有：微积分、多元微积分、线性代数、偏微分方程、统计（概率、统计、经济统计和计量经济学相关）、数值分析等。应届生可录取，看重实习/工作经验，同时非常非常看重presentation能力。</p>",无,无,https://www.compassedu.hk/majr_65680,无,,"商科, 金工金数, 公立常春藤, 美国大学协会",是
73845,食品、农业和生物工程理学硕士,"MS in Food, Agricultural and Biological Engineering","工科, 生物工程",俄亥俄州立大学,生物工程,STEM,秋季/春季/夏季,30-33学分,无,无,无,无,具备工程、食品科学、农业等相关专业知识基础,无,无,无,无,https://www.compassedu.hk/majr_73845,无,,"工科, 生物工程, 美国大学协会, 大十联盟",是
71838,获取失败,获取失败,,,,,,,,,,,,,,,,https://www.compassedu.hk/majr_71838,无,,,否
65787,计算机科学硕士,MS in Computer Science,"工科, 计算机",加州大学伯克利分校,计算机,秋季,2年,无,无,无,无,无,GPA 至少达到 3.0,无,"<p>加州大学伯克利分校也开设了MS CS(only)项目，但并不能算一个传统的硕士项目，科研导向，有点类似自费的PhD项目。</p><p>

录取方面：size极小，每年招生人数非常非常少，如果跟UC Berkeley 的老师没有connection，也没有faculty推荐的话，并不建议申请。</p>",无,无,https://www.compassedu.hk/majr_65787,无,,"工科, 计算机, 公立常春藤, 美国大学协会",是
73837,获取失败,获取失败,,,,,,,,,,,,,,,,https://www.compassedu.hk/majr_73837,无,,,否
72566,国际事务硕士,Master of Advanced Study in Global Affairs,"社科, 公共政策与事务",耶鲁大学,公共政策与事务,秋季,16学分,"56,800美元",无,无,无,无,项目规模较小，每年只有少数学生被录取。 M.A.S. 面向在全球事务领域具有丰富经验的专业人士，例如但不限于国际安全、外交和发展。申请人将至少有七年的专业经验。 在审查申请时，委员会会寻找申请人提供的学科（例如经济学、政治学等）方面具有出色学术能力和实力的证据。,无,无,无,无,https://www.compassedu.hk/majr_72566,无,,"社科, 公共政策与事务, 常春藤联盟, 美国大学协会, 全球大学校长论坛",否
71896,材料科学与工程理学硕士,Master of Science in Materials Science and Engineering,"工科, 材料",加州大学圣地亚哥分校,材料,秋季,36学分,32686美元/年,无,无,无,无,无,无,无,无,无,https://www.compassedu.hk/majr_71896,无,,"工科, 材料, 环太平洋大学联盟, 国际公立大学论坛, 美国大学协会, 高潜力人才签证计划",是
67206,分析学硕士,Master of Analytics,"商科, 商业分析",加州大学伯克利分校,商业分析,STEM,秋季,1年,无,无,无,无,至少一门大学水平的课程或同等知识：线性代数、概率和统计。流利的计算机编程语言。,无,"<p>2022Fall伯克利新开了分析学硕士项目。该项目是STEM项目，一年制，Class Size 60人左右。专业开设在UCB的王牌学院下的IEOR，也就意味着其核心在于技术及其应用。伯克利工程学院在全美最佳研究生工程学院中排名第3。</p><p>课程设置：课程方面比较technical，分为三个部分：</p><p>1.夏季学期Practicum：50个小时的Python Bootcamp</p><p>2.秋季学期Core Analytics Methods：共有4门课，我们可以认为这是分析学的基础课。其中运筹分析、风险模型和模拟分析是契合IEOR的特点和与设置目标一致。</p><p>3.春季学期Elective Specialty：学生可以自行选择4门课。纵观学校提供的课程名单，课程较为集中于金融工程、供应链和物流、数据库。我们会看到相比商学院下的分析类课程,Berkeley的课程和其他领域的相关度有限，比如没有看到市场分析、社交媒体分析、审计取证等方向，也非常硬核了</p><p> </p><p>就业方面： 经常会有有关系的企业专门来这个项目exclusively面向我们info session+收简历等，因为在硅谷附近资源多还会去google总部tesla工厂搞活动，有很多networking的机会）。系里还有一位career service director专门负责这个项目的找工。这个项目还包括一个summer internship才能毕业，如果找不到的话，学校会给你安排，安排和Zolidar、Biomotivate、CranioView等公司一起做项目。</p><p> </p><p>录取方面： 这个项目的bar很高，仅次于西北MSiA，UCLA BA的项目，所以你身边的人也都是很强的人。而且项目cohort不到100人。该项目比较倾向于美本UC系的同学，录取的人数里有一半是来自UC学校。陆本的同学也有录取，不过人数是屈指可数，而且还是重点院校的同学为主。</p><p>平均录取GPA3.89，TOEFL105，GRE329，无商科背景录取，均为数学、统计、数据科学、经济学等背景。该项目要求学生具有较好的数学能力（线性代数 概率统计 ）coding skill，建议申请前多补充一些DA相关的项目或者实习经历。</p>",无,无,https://www.compassedu.hk/majr_67206,无,,"商科, 商业分析, 公立常春藤, 美国大学协会",是
71989,土木工程理学硕士,MS in Civil Engineering,"工科, 土木工程",俄亥俄州立大学,土木工程,秋季,30学分,38376美元/年,无,无,无,无,GPA低于 3.0需提交GRE,无,无,无,无,https://www.compassedu.hk/majr_71989,无,,"工科, 土木工程, 美国大学协会, 大十联盟",是
72918,统计数据理学硕士,MS in Statistics,"理科, 数学",杜兰大学,数学,STEM,秋季/春季,1年,无,无,无,无,相关数学学科背景的学生,无,无,无,无,https://www.compassedu.hk/majr_72918,无,,"理科, 数学, 美国大学协会, AACSB认证商学院",是
72565,公共政策硕士,Master of Public Policy,"社科, 公共政策与事务",耶鲁大学,公共政策与事务,秋季,1年,"56,800美元/年",无,无,无,无,本科学位。建议7年以上工作经验，适合职业生涯中期人士,无,无,无,无,https://www.compassedu.hk/majr_72565,无,,"社科, 公共政策与事务, 常春藤联盟, 美国大学协会, 全球大学校长论坛",否
71796,化学工程理学硕士,MS in Chemical Engineering,"工科, 化工",加州大学圣地亚哥分校,化工,秋季,36学分,32686.51 美元/年,无,无,无,无,WES optional,无,无,无,无,https://www.compassedu.hk/majr_71796,无,,"工科, 化工, 环太平洋大学联盟, 国际公立大学论坛, 美国大学协会, 高潜力人才签证计划",是
65786,电气工程与计算机科学硕士,MEng in Electrical Engineering and Computer Science,"工科, 电气电子",加州大学伯克利分校,电气电子,秋季,1年,60766.5美元,无,无,无,无,"GPA 至少达到 3.0
具有本科或以上水平的编程、算法、数据结构和理论方面的经验",无,<p>加州大学伯克利分校也是美国四大计算机神校之一，其EECS系一直处于研究的前沿，在半导体和MEMS器件、设计技术、计算机结构、操作系统和数据库以及有线和无线网络方面取得了重要进展。该系下开设的MEng项目为授课制就业导向的硕士项目。</p><p>课程设置：项目时长仅一年，不支持延期。提供数据科学、计算机系统、电子电路、机器人、信号处理和计算机视觉六个specialization，申请时需要从中选择两个意向方向。大牛教授很多，专业课程设计和教学水平都有保障。课程结构由tech+capstone+leadership三个部分组成，意味着除了专业课以外，还需要修几门管理与领导力一类的软课（帮助大家练习presentation与写作能力等软技能，对树立思维框架也比较有用），旨在培养技术管理者。</p><p>就业方面：项目带有capstone project，学生可以在导师的指导下获得行业前沿的技能，更好地为就业做准备。</p><p>录取方面：毫无疑问是顶尖项目。每年录取100人左右，录取率大约12%。海本较多，陆本普遍来自985高校。平均录取者GPA高达3.78，基本都是CS本科背景。</p>,无,无,https://www.compassedu.hk/majr_65786,无,,"工科, 电气电子, 公立常春藤, 美国大学协会",是
65602,管理研究硕士,Master of Science in Management Studies,"商科, 管理",波士顿大学,管理,STEM,秋季,9个月,无,无,机面（kira）/真人单面,无,无,无,<p>波士顿大学商学院管理研究理学硕士项目Master of Science in Management Studies (MSMS)开设于15年秋季，25fall更名为MS in Management。为STEM专业的本科毕业生以及其他具有较强分析能力及学术背景的学生提供商业管理教育，以期培养出适应人才市场需要的既懂管理又有技术的复合型人才。</p><p>课程设置：课程非常有特色，9个月，stem，没有具体的课程，4个模块，3个是hands-on实践，做client project，从而最快速地了解商业实战，完全实践了“learning by doing”。</p><p>就业方面：毕业生6个月内的就业率87%，在现在经济形势不景气的大环境下，这个数字非常亮眼了。</p><p>录取方面：申请要求非商科（non-business）专业，项目size比较小，录取率12%，理工科为主，文社科也友好，国际学生超过30%。录取的学生一半带奖学金。</p>,无,无,https://www.compassedu.hk/majr_65602,无,,"商科, 管理, 美国大学协会",是
71738,生物统计学公共卫生理学硕士,MSPH in Biostatistics (MS),"理科, 数学",杜兰大学,数学,春季/秋季,42学分,1478美元/学分,无,无,无,无,平均成绩为 B+ 的学士学位是必需的。鼓励学习微积分和线性代数课程。,无,"<p>杜兰大学公共卫生和医学院学院下的生物统计和数据科学系开设了2个生物统计学硕士，
生物统计学理学硕士MS in Biostatistics项目是学术导向型的项目，带毕业论文。旨在帮助学生掌握高阶的数学和应用统计方法statistical methodologies并将其运用在health 数据分析。课程涵盖了数理统计和概率论、多元应用和理论方法、随机过程、基本流行病学和人口统计学，使学生能够协助将统计理论应用于生物统计问题的解决。 <br/>生物统计学MSPH项目属专业学位项目，强调公共卫生与医疗保健方向的应用数据分析。该项目主要是在公共卫生机构，药物研究部门，医疗保健组织收集、分析和剖析数据，提出data-driven的解决办法。课程的重点是通过使用real-world数据集和计算机统计软件包来熟练掌握这些统计技能。项目无论文，但包括了applied practice experience。</p><p>                                           录取方面：属于高端选手偏保底的选择。要求申请者需修读过微积分、线性代数前置课程。</p>",无,无,https://www.compassedu.hk/majr_71738,无,,"理科, 数学, 美国大学协会, AACSB认证商学院",否
72803,计算社会科学硕士,Master's in Computational Social Science,"社科, 社会学与社工",加州大学圣地亚哥分校,社会学与社工,STEM,夏季/秋季,一年,无,无,无,无,GPA3.0及以上。建议先修统计学或逻辑相关课程。Prefer学过微积分，编程能力的申请者。,无,无,无,无,https://www.compassedu.hk/majr_72803,无,,"社科, 社会学与社工, 环太平洋大学联盟, 国际公立大学论坛, 美国大学协会, 高潜力人才签证计划",是
73525,银章学者（MBA）,Silver Scholar（MBA）,"商科, 工商管理",耶鲁大学,工商管理,STEM,秋季,2年,无,无,无,无,"官网对候选人没有详细的要求。
需要填写表现评估。
该项目招大四学生。",无,无,无,无,https://www.compassedu.hk/majr_73525,无,,"商科, 工商管理, 常春藤联盟, 美国大学协会, 全球大学校长论坛",是
73066,应用统计硕士,MS in Applied Statistics,"理科, 数学",密歇根州立大学,数学,秋季,30学分,975美元/学分,无,无,无,无,"申请人应具有微积分相当于在密歇根州立大学数学132,133和234的背景，线性代数相当于数学309，概率和统计相当于统计和概率441和442且平均绩点为3.0。",无,无,无,无,https://www.compassedu.hk/majr_73066,无,,"理科, 数学, 公立常春藤, 十大联盟, 美国大学协会",否
73788,系统工程学工程硕士,MEng in Systems Engineering,"工科, 工程管理",波士顿大学,工程管理,STEM,秋季/春季,1年,无,无,无,无,相关专业，GPA3.0以上,无,无,无,无,https://www.compassedu.hk/majr_73788,无,,"工科, 工程管理, 美国大学协会",是
72660,电气工程与计算机科学理学硕士,MS in Electrical Engineering and Computer Science,"工科, 电气电子",加州大学伯克利分校,电气电子,STEM,秋季,两年,无,无,无,无,GPA 达到3.0以上,无,无,无,无,https://www.compassedu.hk/majr_72660,无,,"工科, 电气电子, 公立常春藤, 美国大学协会",是
71760,生物工程工学硕士,MENG in Bioengineering,"工科, 生物工程",加州大学圣地亚哥分校,生物工程,秋季,3-4 quarters,10962.17美元/quarter,无,无,无,无,无,无,<p>加州大学圣地亚哥分校生物工程系研究生阶段开设有生物工程硕士（M.Eng.）：为期1年，就业导向，旨在为医疗和生物工程行业培养更多的设计与项目工程师。主要面向当今技术和专业需要提升的工程师，或对工程设计，开发，制造与管理感兴趣的学生。不需要撰写毕业论文。生物工程硕士（MS）：旨在扩大和拓宽学生的本科背景，使毕业生具备生物工程的前沿知识。提供了thesis option，有利于学生后续继续申请/攻读博士学位。项目将课程与创新研究相结合。 </p>,无,无,https://www.compassedu.hk/majr_71760,无,,"工科, 生物工程, 环太平洋大学联盟, 国际公立大学论坛, 美国大学协会, 高潜力人才签证计划",是
74044,获取失败,获取失败,,,,,,,,,,,,,,,,https://www.compassedu.hk/majr_74044,无,,,否
72871,获取失败,获取失败,,,,,,,,,,,,,,,,https://www.compassedu.hk/majr_72871,无,,,否
73533,环境健康科学硕士,MPH in Envioromental Health Science (EHS),"社科, 公共卫生",耶鲁大学,公共卫生,秋季,2年,"51,895美元/年",无,无,无,无,申请人必须具备文学学士或理学学士学位或外国同等学历,无,无,无,无,https://www.compassedu.hk/majr_73533,无,,"社科, 公共卫生, 常春藤联盟, 美国大学协会, 全球大学校长论坛",否
